title,images,materiel,size,UNIT COUNT,description,0,1,2,3,4,5,6,7,8,desi,bullet,keywords,audience_keyword,manufacturer,UK ID,AU ID,MX ID,TR ID,AE ID,SG ID,JP ID,CA ID,US ID,IT ID,FR ID,ES ID,PL ID,NL ID,DE ID,BG ID,SE ID
Red Wooden Cat Food And Drinker- Pet Home Decoration Stylish Decorative Food Container,"151,152",wooden,30x20x10,1,"Foot Material It is made of MDF material.
The material thickness is 12 mm.
The food box is 13 cm.
Multi-surface paint is used in the upper surface material.
All parts are sent as assembled.
It is a 2-compartment food bowl for your pet.
It does not harm as it is a clean cut.
It is easy to clean.
Product dimensions are 30x20x10 cm.",,93,93,99,,99,116,111,118,2,Does not harm your pet.= Easy to clean.= Suitable for contact with food.,dog; cat; formula; dog food; water; house; clean; lunch box; front door; garden; woman; pet; animal; pet shop; food; paw; cat fur; dog fur,dog; cat; formula; dog food; water; house; clean; lunch box; front door; garden; woman; pet; animal; pet shop; food; paw; cat fur; dog fur,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Blue Cat Food And Drinker- Wooden Home Decoration Stylish Decorative Pet Food Container,153,wooden,30x20x10,1,"Foot Material It is made of MDF material.
The material thickness is 12 mm.
The food box is 13 cm.
Multi-surface paint is used in the upper surface material.
All parts are sent as assembled.
It is a 2-compartment food bowl for your pet.
It does not harm as it is a clean cut.
It is easy to clean.
Product dimensions are 30x20x10 cm.",,93,93,99,,99,116,111,118,2,Made of wood.= There are 2 lunch boxes.= Easy to clean.,cat; dog lunch box; container; this; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; kennel; cat house; wood,cat; dog lunch box; container; this; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; kennel; cat house; wood,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Claw Wooden Cat Food Container- Pet Home Decoration Modern Design Food Container,"154,155,156,157",wooden,33x17x30,1,"Foot Material It is made of MDF material.
Multi-surface paint is used in the upper surface material.
All parts are shipped disassembled.
It is a 2-compartment food bowl for your pet.
It does not hurt because it is a clean cut.
It is easy to clean.
Product dimensions are 33x17x30 cm.",,117,117,140,,140,168,162,178,2,It is produced with wood.= It is a design product.= It is two-colored.,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Orange Wooden Cat Food And Drinker- Pet Decoration Stylish Decorative Food Container,"158,159",wooden,30x20x10,1,"Foot Material It is made of MDF material.
The material thickness is 12 mm.
The food box is 13 cm.
Multi-surface paint is used in the upper surface material.
All parts are sent as assembled.
It is a 2-compartment food bowl for your pet.
It does not harm as it is a clean cut.
It is easy to clean.
Product dimensions are 30x20x10 cm.",,93,93,99,,99,116,111,118,2,Does not harm your pet.= Easy to clean.= Suitable for contact with food.,dog; cat; formula; dog food; water; house; clean; lunch box; front door; garden; woman; pet; animal; pet shop; food; paw; cat fur; dog fur,dog; cat; formula; dog food; water; house; clean; lunch box; front door; garden; woman; pet; animal; pet shop; food; paw; cat fur; dog fur,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Natural Wooden Cat Dog Food Container - Pet Home Decoration Modern Decorative Food Container,"160,161,162,163",wooden,22x22x8,1,"It can be used as a food and water bowl for your cat and dog.
All parts are sent as assembled.
Made with wood.
It does not hurt because it is a clean cut.
It is easy to clean.
Product dimensions are 22x22x8 cm.",,84,84,89,,89,102,100,105,1,Made with wood.= Clean cut.= Suitable for cats and dogs.,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Stainless Steel Silver Food Bowl - Pet Decorative Modern Food Bowl,164,steel,15x15x4,1,"Made with stainless steel.
It can be used as a food and water bowl for your cat and dog.
All parts are sent as assembled.
It does not hurt because it is a clean cut.
It is easy to clean.
Product dimensions are 15x15x4 cm.",,80,80,85,,85,98,96,101,1,It is stainless.= Easy to clean.= Easy to carry.,lunch box; cat; dog; pet; stainless; steel; silver; water bucket; woman; house; home decoration; garden; street; decorative; modern; stylish; animal,lunch box; cat; dog; pet; stainless; steel; silver; water bucket; woman; house; home decoration; garden; street; decorative; modern; stylish; animal,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Hexxup Cat Dog Food Container Medium- Pet Decoration Decorative Food Container,"165,166,167,168,169",wooden,40x21x8,1,"Made with wood.
It can be used as a food and water bowl for your cat and dog.
All parts are sent as assembled.
It is easy to clean.
Product dimensions are 15x15x4 cm.",,137,137,143,,143,160,155,162,1,Does not harm your pet.= Easy to clean.= Suitable for contact with food.,cat; wood; dog food; water; house; clean; lunch box; front door; garden; pet; animal; pet shop; food; paw; cat fur; dog fur; home decoration; decorative,cat; wood; dog food; water; house; clean; lunch box; front door; garden; pet; animal; pet shop; food; paw; cat fur; dog fur; home decoration; decorative,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Turex Cat Dog Food Container Small- Home Decoration Pet Decorative Food Container,"187,188,189,190,191",wooden,33x19x10,1,"Made with wood.
It can be used as a food and water bowl for your cat and dog.
All parts are sent as assembled.
It is easy to clean.
Product dimensions are 33x19x10 cm.",,127,127,133,,133,150,145,152,1,It is produced with wood.= It is a design product.= It is two-colored.,pet shop; bird; bait; manger; bird food; cage; water; pet; parrot; cat; dog; house; garden; zoo; animal; woman; male; bird food; street animals,pet shop; bird; bait; manger; bird food; cage; water; pet; parrot; cat; dog; house; garden; zoo; animal; woman; male; bird food; street animals,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Glasses Cat Dog Food Container Large- Pet Decorative Modern Wooden Food Container,"193,194,195,196,197",wooden,38x20x10,1,"Made with wood.
It can be used as a food and water bowl for your cat and dog.
All parts are sent as assembled.
The edges are clean cut.
It is easy to clean.
Product dimensions are 33x20x10 cm.",,128,128,144,,144,168,162,172,1,It is an ideal product for your cats.= Easy to carry.= Clean cut.,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Honey Cowl Cat Dog Food Container Small- Pet Item Modern Decorative Food Container,"177,178,179,180,181",wooden,20x17x6,1,"Made with wood.
It can be used as a food and water bowl for your cat and dog.
All parts are sent as assembled.
The edges are clean cut.
It is easy to clean.
Product dimensions are 20x17x6 cm.",,119,119,124,,124,137,135,140,1,Does not harm your pet.= Easy to clean.= Suitable for contact with food.,dog; cat; formula; dog food; water; house; clean; lunch box; front door; garden; woman; pet; animal; pet shop; food; paw; cat fur; dog fur,dog; cat; formula; dog food; water; house; clean; lunch box; front door; garden; woman; pet; animal; pet shop; food; paw; cat fur; dog fur,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Alone Cat Dog Food Container Small- Pet Home Decoration Modern Decorative Wooden Food Container,"198,199,200,201,202",wooden,19x16x10,1,"Made with wood.
It can be used as a food and water bowl for your cat and dog.
All parts are sent as assembled.
The edges are clean cut.
It is easy to clean.
Product dimensions are 19x16x10 cm.",,91,91,96,,96,109,107,112,1,It is produced with wood.= It is a design product.= It is two-colored.,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Hexx Cat Dog Food Container Small- Home Decoration Modern Wooden Food Container,"204,205,206,207,208",wooden,19x19x6,1,"Made with wood.
It can be used as a food and water bowl for your cat and dog.
All parts are sent as assembled.
The edges are clean cut.
It is easy to clean.
Product dimensions are 19x19x6 cm.",,81,81,86,,86,99,97,102,1,Made of wood.= There are 2 lunch boxes.= Easy to clean.,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Ramp Wooden Cat Food And Water Bowl - Modern Design Home Decoration Pet Food Container,"209,210,211,212,213",wooden,33x20x12,1,"Made with wood.
It can be used as a food and water bowl for your cat and dog.
All parts are sent as assembled.
The edges are clean cut.
It is easy to clean.
Product dimensions are 33x20x12 cm.",,95,95,101,,101,118,113,120,1,Does not harm your pet.= Easy to clean.= Suitable for contact with food.,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Cat Dog Food and Drinker - Pet Stylish Design Decorative Food Container,"215,216,217,218,219",wooden,32x17x5,1,"It is made of poplar and contra material.
Wood is used.
It can be used as a food and water bowl for your cat and dog.
All parts are sent as assembled.
The edges are clean cut.
It is easy to clean.
Product dimensions are 32x17x5 cm.",,84,84,89,,89,102,100,105,1,It is stainless.= Easy to clean.= Easy to carry.,dog; cat; formula; dog food; water; house; clean; lunch box; front door; garden; woman; pet; animal; pet shop; food; paw; cat fur; dog fur,dog; cat; formula; dog food; water; house; clean; lunch box; front door; garden; woman; pet; animal; pet shop; food; paw; cat fur; dog fur,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Cat Food And Water Bowl Small Marble Effect - Pet Items Stylish Design Food Container,220,marble,35x35x5,1,"It is made of MDF material.
You can clean it with a damp cloth.
It can be used as a food and water bowl for your cat and dog.
The surface material of the product is a water-based wood colorant.
The material thickness is 18 mm.
The diameter of the lunch box is 13 cm.
All parts are sent as assembled.
Product dimensions are 35x35x5 cm.",,92,92,98,,98,115,110,117,1,It is suitable for contact with food.= Easy to clean.= It is a design product.,marble; design; modern; 3 pieces; lunch box; cat; dog; pet; animal; pet shop; water bucket; clean; house; home decoration; decorative; bird;,marble; design; modern; 3 pieces; lunch box; cat; dog; pet; animal; pet shop; water bucket; clean; house; home decoration; decorative; bird;,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Paw Patterned Double Cat Food Container- Home Decoration Modern Patterned Wooden Food Container,"221,221,223,224,225",wooden,33x17x30,1,"Foot Material It is made of MDF material.
Multi-surface paint is used in the upper surface material.
All parts are shipped disassembled.
It is a 2-compartment food bowl for your pet.
It does not hurt because it is a clean cut.
It is easy to clean.
Product dimensions are 33x17x30 cm.",,117,117,140,,140,168,162,178,1,Made of wood.= There are 2 lunch boxes.= Easy to clean.,cat; dog lunch box; container; this; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; kennel; cat house; wood,cat; dog lunch box; container; this; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; kennel; cat house; wood,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Cat Dog Food And Water Bowl Small Navy Blue- Decorative Modern Wooden Design Food Container,"226,227,228",wooden,19x35x5,1,"The surface material of the product is a water-based wood colorant.
The material thickness is 18 mm.
The mother's diameter is 13 cm.
It is suitable for contact with food.
It is a 2-compartment food bowl for your pet.
It is easy to clean.
Product dimensions are 19x35x5 cm.",,81,81,86,,86,99,97,102,1,Made of wood.= There are 2 lunch boxes.= Easy to clean.,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Infinite Pottery Bowl Cat Food And Water Bowl - Cat Food Container Home Decoration Decorative Food Container,"229,230,231,232",wooden,36x18x10,1,"The material is made of pottery material consisting of MDF and natural earth.
You can clean it with a damp cloth.
It can be used as a food and water bowl for your cat and dog.
The surface material of the product is a water-based wood colorant.
All parts are sent as assembled.
Product dimensions are 36x18x10 cm.",,92,92,98,,98,115,110,117,1,It is produced with wood.= It is a design product.= It is two-colored.,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Pet Ronas Cat And Dog Food Container Black- Home Decoration Design Modern Food Water Bowl,"233,234",wooden,34x18x7,1,"It is made of birch plywood material.
  The bowls are made of stainless steel, they can be easily removed and washed in the dishwasher.
It can be used as a food and water bowl for your cat and dog.
There are steel food containers inside the product.
Steel containers, cat dog food and water container are sent as a set. The stand is completely wooden.
The surface material of the product is a water-based wood colorant.
All parts are sent as assembled.
Product dimensions are 24x18x7 cm.",,97,97,103,,103,120,115,122,1,Made of wood.= There are 2 lunch boxes.= Easy to clean.,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Pet Ronas Cat And Dog Food Container White- Home Decoration Design Stylish Food Water Container,"233,234,235,236",wooden,34x18x7,1,"It is made of birch plywood material.
  The bowls are made of stainless steel, they can be easily removed and washed in the dishwasher.
It can be used as a food and water bowl for your cat and dog.
There are steel food containers inside the product.
Steel containers, cat dog food and water container are sent as a set. The stand is completely wooden.
The surface material of the product is a water-based wood colorant.
All parts are sent as assembled.
Product dimensions are 24x18x7 cm.",,97,97,103,,103,120,115,122,1,It is produced with wood.= It is a design product.= It is two-colored.,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Pet Ronas Cat And Dog Food Container Gray - Pet Decorative Design Food Container,"237,238,239",wooden,34x18x8,1,"It is made of birch plywood material.
  The bowls are made of stainless steel, they can be easily removed and washed in the dishwasher.
It can be used as a food and water bowl for your cat and dog.
There are steel food containers inside the product.
Steel containers, cat dog food and water container are sent as a set. The stand is completely wooden.
The surface material of the product is a water-based wood colorant.
All parts are sent as assembled.
Product dimensions are 24x18x7 cm.",,97,97,103,,103,120,115,122,1,Made of wood.= There are 2 lunch boxes.= Easy to clean.,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Pet Ronas Cat And Dog Food Container Multi - Pet Decorative Modern Food Container,"240,241,242,243",wooden,34x18x8,1,"It is made of birch plywood material.
  The bowls are made of stainless steel, they can be easily removed and washed in the dishwasher.
It can be used as a food and water bowl for your cat and dog.
There are steel food containers inside the product.
Steel containers, cat dog food and water container are sent as a set. The stand is completely wooden.
The surface material of the product is a water-based wood colorant.
All parts are sent as assembled.
Product dimensions are 24x18x7 cm.",,97,97,103,,103,120,115,122,1,It is produced with wood.= It is a design product.= It is two-colored.,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,cat; dog; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; nest; kennel; cat house; wood; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Cat Dog Food And Water Bowl Small Black -Home Decoration Pet Modern Food Container,244,wooden,19x35x13,1,"The surface material of the product is a water-based wood colorant.
The material thickness is 15 mm.
The diameter of the food bowl is 13 cm.
It can be used as a food and water bowl for your cat and dog.
All parts are sent as assembled.
Product dimensions are 19x35x13 cm.",,115,115,121,,121,138,133,140,2,It is an ideal product for cats and dogs.= Easy to carry.= Clean cut.,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Cat Dog Food And Water Bowl Small Black- Pet Houseware Modern Decorative Food Container,245,wooden,19x35x5,1,"The surface material of the product is a water-based wood colorant.
The material thickness is 18 mm.
The diameter of the food bowl is 13 cm.
It can be used as a food and water bowl for your cat and dog.
You can clean it with a damp cloth.
All parts are sent as assembled.
Product dimensions are 19x35x5cm.",,93,93,98,,98,111,109,114,1,Easy to carry.= Easy to clean.= Suitable for contact with food.,marble; design; modern; 2 pieces; lunch box; cat; dog; pet; animal; pet shop; water bucket; clean; house; home decoration; decorative; bird;wood,marble; design; modern; 2 pieces; lunch box; cat; dog; pet; animal; pet shop; water bucket; clean; house; home decoration; decorative; bird;wood,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
